,country,Year,Child Mortality,GDP per Capita
44033,Serbia,2025,4.48,23500.0
44034,South Sudan,2025,87.6,377.0
44035,Sao Tome and Principe,2025,25.2,3990.0
44036,Suriname,2025,15.9,15600.0
44037,Slovak Republic,2025,4.6,35400.0
44038,Slovenia,2025,1.9,43300.0
44039,Sweden,2025,2.14,54800.0
44040,Eswatini,2025,44.4,9630.0
44041,Seychelles,2025,12.6,28600.0
44042,Syria,2025,9.71,3200.0
44043,Chad,2025,104.0,1450.0
44044,Togo,2025,58.0,2430.0
44045,Thailand,2025,7.49,18800.0
44046,Tajikistan,2025,26.9,4730.0
44047,Turkmenistan,2025,40.5,15900.0
44048,Timor-Leste,2025,36.5,3070.0
44049,Tonga,2025,13.1,6120.0
44050,Trinidad and Tobago,2025,15.8,24600.0
44051,Tunisia,2025,13.3,10800.0
44052,Turkey,2025,8.12,35600.0
44053,Tuvalu,2025,22.0,4980.0
44054,Taiwan,2025,3.84,63100.0
44055,Tanzania,2025,41.1,2830.0
44056,Uganda,2025,37.0,2480.0
44057,Ukraine,2025,6.9,9860.0
44058,Uruguay,2025,6.4,25900.0
44059,USA,2025,6.35,68200.0
44060,Uzbekistan,2025,18.7,8930.0
44061,St. Vincent and the Grenadines,2025,13.9,17300.0
44062,Venezuela,2025,21.8,7240.0
44063,Vietnam,2025,18.3,13200.0
44064,Vanuatu,2025,21.4,2770.0
44065,Samoa,2025,13.0,5810.0
44066,Yemen,2025,51.0,1660.0
44067,South Africa,2025,28.6,13300.0
44068,Zambia,2025,47.5,3550.0
44069,Zimbabwe,2025,39.2,2330.0
